"rid","berth_id","port_id","terminal_id","berth_name","berth_operator","berth_type","berth_status","facility_type","latitude_indicator","longitude_indicator","dec_latitude","dec_longitude","berth_length_flat_side","berth_length_incl_dolphins","berth_length_continuous","depth_alongside_lw","draught_hw_max","draught_lw_max","berth_ukc_min","tidal_range_spring","tidal_range_neap","night_berthing","night_berthing_note","night_unberthing","ship_loa_max","ship_loa_min","ship_loa_note","ship_dwt_max","ship_dwt_min","ship_dwt_note","ship_disp_max","ship_disp_min","ship_disp_note","gas_capacity_min","gas_capacity_max","gas_capacity_note","ship_beam_max","ship_beam_note","berth_disp_max","gt_max","teu","total_pbl_min","manifold_bcm_max","manifold_bcm_min","manifold_scm_max","manifold_scm_min","manifold_height_max","manifold_height_min","derrick_swl_min","wl_masthead_height_max","manifold_pbl_min_fwd","manifold_pbl_min_aft","manifold_used","ro_ro","passenger","ramp_width","ramp_swl","breakbulk","naval","coastal","timber_products","fishing","container","transhipment","offshore","project_heavy","steel_products","twin_span","cranes_note","all_weather_berth","cold_ironing","side_alongside","bunkers_hfo","delivery_hfo","gangway_used","bunkers_do_go","delivery_do_go","moorings_fwd","moorings_aft","bunkers_lng","delivery_lng","fresh_water","delivery_fw","cow","berth_additional_info","reefer","livestock","waterline_height_hw_max_decimal","dry_bulk_cargo","sdc_berth_line","sdc_berth_type","is_confirmed","sdc_berth_name","lastupdatedate","remark"
"272190","76268","15401","37008","Dock No. 01C","Kinder Morgan","Pier","Closed","Tanker","N","W","40.586217","-74.209483",,"80",,,,,,"1.52","1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barge Berth",,,,,,,,"Kinder Morgan, Carteret_Dock No. 01C","4/5/2021 14:30:17+08",
"272161","84561","15401","40008","74","Maher Terminals LLC","Quay","Active","Dry Cargo","N","W","40.674367","-74.1396","197",,"2348","13.7","11.9",,,"1.52","1.37","All vessels",,"All vessels","335.06",,,"103567",,,,,,,,,"42.8",,,"93750","8749",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,,,,"4 x 71t Liebherr Super Post- Panamax cranes with 68.6m outreach, 2 x 71t Liebherr Post- Panamax cranes with 68.6m outreach, 2 x 66t Liebherr Super Post- Panamax cranes with 61m outreach, 5 x 66t Fantuzzi Post- Panamax cranes with 61m outreach, 4 x 66t ZPMC Post- Panamax cranes with 61m outreach and 7 x 50.8t Paceco Post- Panamax cranes with 41.1m outreach all available at the terminal.","True",,"Starboard",,,,,,,,,,,,,"Depths from 13.7 - 15.2m.","True",,,,,,,"Maher Container Terminal - Port Elizabeth_74","7/5/2021 08:59:22+08",
"272154","84554","15401",,"76",,"Quay","Never Existed","Dry Cargo",,,,,,,,"13.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"_76","15/6/2016 13:54:36+08",
"272162","84580","15401","40009","96","APM Terminals","Quay","Active","Dry Cargo","N","W","40.661183","-74.153033",,,"760","13.7","11.4",,,"1.52","1.37","All vessels",,"All vessels","334.11",,,"108447",,,,,,,,,"43.2",,,"94322","8580",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,"True",,,"4 x 50.8t ZPMC Post- Panamax cranes with 62.8m outreach, 6 x 50.8t ZPMC Post- Panamax cranes with 42.7m outreach, 2 x 50.8t Paceco Post- Panamax cranes with 42.7m outreach, 3 x 50.8t Paceco cranes with 35.5m outreach and 1 x 100t floating crane (per contractor) available at the terminal.",,,"Port or Starboard",,,,"Available",,,,,,"Not Available",,,,"True",,,,,,,"APM Terminals_96","6/5/2021 14:17:45+08",
"272163","84581","15401","40009","98","APM Terminals","Quay","Active","Dry Cargo","N","W","40.662067","-74.155167",,,"760","13.7","11.4",,,"1.52","1.37","All vessels",,"All vessels","305.6",,,"81002",,,,,,,,,"40",,,"75752","6589",,,,,,,,,"46",,,,,,,,"True",,,,,"True",,,"True",,,"4 x 50.8t ZPMC Post- Panamax cranes with 62.8m outreach, 6 x 50.8t ZPMC Post- Panamax cranes with 42.7m outreach, 2 x 50.8t Paceco Post- Panamax cranes with 42.7m outreach, 3 x 50.8t Paceco cranes with 35.5m outreach and 1 x 100t floating crane (per contractor) available at the terminal.",,,"Port or Starboard",,,,"Available",,,,,,"Not Available",,,,"True",,,,,,,"APM Terminals_98","6/5/2021 14:08:06+08",
"272164","84598","15401","40011","23","Port Authority of New York and New Jersey","Quay","Active","Dry Cargo","N","W","40.691183","-74.134917","213",,"844","12.1","10.5",,,"1.52","1.37","All vessels",,"All vessels","296",,,"55631",,,,,,,,,"38",,,"100430","3817",,,,,,,,,,,,,"PCC",,,,,,,,,"True",,,,,,,,,"Starboard",,,"Ship",,,,,,,,,,"Used in conjunction with adjacent fuel berth No 21 for FAPS (Foreign Auto Preparation Service) - imported cars. Toyata storage area.",,,,,,,,"Port Newark Auto Terminal_23","10/5/2021 11:28:52+08",
"272165","84599","15401","40011","25","Port Authority of New York and New Jersey","Quay","Closed","Dry Cargo","N","W","40.690183","-74.133983","213",,"844","12.1",,,,"1.52","1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/05/2021 - No vessel visits in one year. Used by FAPS (Foreign Auto Preparation Service) - imported cars. Toyata storage area.",,,,,,,,"Port Newark Auto Terminal_25","10/5/2021 11:32:55+08",
"272168","84777","15401","48473","Quay","Ports America","Quay","Closed","Dry Cargo","N","W","40.670467","-74.08445","480",,,,"7.9",,,"1.52","1.37",,,,"184",,,"13000",,,,,,,,,"32",,,"47000",,,,,,,,,,,,,,"PCC",,,,,,,,,"False",,,,,,,,,"Port or Starboard",,,"Ship",,,,,,,,,,"10/05/2021 - No vessel visits in one year.",,,,,,,,"Bayonne Auto Terminal_Quay","10/5/2021 14:27:05+08",
"272169","84811","15401","40015","Pier 08 (South)","Port Authority of New York and New Jersey ","Quay","Never Existed","Dry Cargo","N","W","40.689917","-74.004517","205",,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Piers_Pier 08 (South)","2/5/2019 13:47:49+08",
"272170","84747","15401","40014","Pier 09A (South)","Port Authority of New York & New Jersey","Quay","Closed","Dry Cargo","N","W","40.688483","-74.005617","190",,,"12.8",,,,"1.52","1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False",,,,,,,,,,,,,,,,,,,,,,"10/05/2021 - No vessel visits in one year.",,,,,,,,"Red Hook Container Terminal - Brooklyn, NY_Pier 09A (South)","10/5/2021 15:26:20+08",
