"index_code","index_desc","wind_code","date","open","high","low","close","volume","amt","chg","pct_chg","update_time"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220404",,,,"5220.56",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220411",,,,"4879.62",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220418",,,,"4821.53",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220425",,,,"5084.31",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220502",,,,"5077.38",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220509",,,,"5095.92",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220523",,,,"5163.23",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220530",,,,"5115.72",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220606",,,,"5064.46",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220613",,,,"4831.73",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220620",,,,"4552.35",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220627",,,,"4358.46",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220704",,,,"4103.6",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220711",,,,"4290.2",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220718",,,,"4143.68",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220725",,,,"4052.94",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220801",,,,"3589.82",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220808",,,,"3483.2",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220815",,,,"3577.34",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220822",,,,"3335.29",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220829",,,,"3139.1",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220905",,,,"2636.33",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220912",,,,"2343.2",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220919",,,,"2269.82",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20220926",,,,"1827.21",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221003",,,,"1547.47",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221010",,,,"1387.3",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221017",,,,"1195.63",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221024",,,,"1157.63",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221031",,,,"1058.9",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221107",,,,"1003.61",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221114",,,,"948.82",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221121",,,,"919.99",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221128",,,,"862.13",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20221205",,,,"844.55",,,,,"20/3/2025 09:53:34.620718+08"
